"IR1","RED1","IR2","RED2","IR3","RED3","IR4","RED4"
1355,1721,37143,43386,160982,185494,234408,261265
1355,1721,37104,43309,160901,185446,233506,260171
1346,1689,37104,43309,160671,185073,233506,260171
1349,1726,37085,43301,160671,185073,233571,260242
1349,1726,37214,43400,160625,185028,234014,260649
1402,1685,37214,43400,160407,184797,234014,260649
1347,1717,37214,43461,160407,184797,234130,260777
1363,1748,37806,43965,160507,184842,234879,261863
1358,1732,37886,44034,160988,185383,234861,261849
1343,1731,37955,44124,160988,185383,234787,261732
1350,1720,38122,44265,161100,185472,235380,262125
1370,1733,38122,44265,161622,186036,235380,262125
1359,1730,38080,44270,161622,186036,235490,262140
1359,1730,38029,44171,161635,186091,235321,261947
1390,1718,38029,44171,161657,186162,235321,261947
1363,1736,37987,44148,161657,186162,235625,262129
1363,1736,37933,44075,161617,186183,237397,262143
1358,1703,37933,44075,161476,185951,237397,262143
1365,1739,37890,44067,161476,185951,237882,262143
1365,1739,37796,43920,161418,185886,239033,262143
1360,1772,37796,43920,161371,185808,239033,262143
1358,1730,37738,43893,161371,185808,238893,262143
1358,1730,37782,43913,161400,185779,237416,262143
1357,1728,37782,43913,161332,185780,237416,262143
1359,1727,37761,43930,161332,185780,236915,262143
1359,1727,37888,44076,161288,185730,236283,262143
1359,1755,37888,44076,161153,185609,236283,262143
1365,1741,37897,44106,161153,185609,236232,262143
1365,1741,37991,44168,161127,185601,236156,262143
1366,1793,37991,44168,161003,185408,236195,262143
1365,1755,37965,44159,161003,185408,236204,262143
1365,1755,37924,44105,160960,185377,236686,262143
1370,1766,37924,44105,160936,185345,236581,262143
1366,1750,37863,44077,160936,185345,236352,262143
1366,1750,37649,43844,160967,185350,236845,262143
1340,1750,37649,43844,161039,185414,236917,262143
1351,1734,37680,43757,161039,185414,237087,262143
1351,1734,37406,43578,161029,185361,237292,262143
1368,1723,37406,43578,160940,185309,236673,262143
1341,1721,37376,43527,160940,185309,236297,262143
1341,1721,37258,43440,160990,185334,234468,260996
1309,1715,37258,43440,161069,185408,234468,260996
1351,1718,37268,43377,161069,185408,234429,260933
1351,1718,37191,43374,161077,185385,235082,261547
1285,1713,37191,43374,161159,185532,235082,261547
1351,1714,37183,43379,161159,185532,235079,261606
1351,1714,37069,43216,161175,185502,235522,262041
1373,1689,37069,43216,161187,185616,235522,262041
1335,1717,37066,43181,161187,185616,235293,261852
1335,1717,36921,42980,161159,185616,235596,261987
1296,1715,36921,42980,161139,185569,235596,261987
1345,1713,36884,42960,161139,185569,235842,262131
1345,1713,36813,42829,161117,185551,235905,262143
